x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
,,,,,,58,66,,,,,,,,,,,,
,,,,,,59,66,,,,,,,,,,,,
,,,,,,60,66,,,,,,,,,,,,
,,,,,,61,66,,,,,,,,,,,,
,,,,,,56,67,,,,,,,,,,,,
,,,,,,57,67,,,,,,,,,,,,
,,,,,,58,67,,,,,,,,,,,,
,,,,,,59,67,,,,,,,,,,,,
,,,,,,60,67,,,,,,,,,,,,
,,,,,,89,72,,,,,,,,,,,,
,,,,,,61,75,,,,,,,,,,,,
,,,,,,80,80,,,,,,,,,,,,
,,,,,,3,82,,,,,,,,,,,,
,,,,,,37,90,,,,,,,,,,,,
,,,,,,36,96,,,,,,,,,,,,
,,,,,,44,99,,,,,,,,,,,,
